Fecha,Consumo_kWh,Produccion,Temperatura,Humedad,Horas_Turno
2023-03-01,804.44,741.77,19.81,56.1,8
2023-03-02,614.52,507.21,20.04,51.3,8
2023-03-03,805.62,801.02,15.56,58.32,8
2023-03-06,736.57,688.16,21.51,47.29,8
2023-03-07,444.63,265.92,18.81,53.03,10
2023-03-08,902.73,882.94,20.41,65.99,10
2023-03-09,841.79,732.8,19.37,54.12,8
2023-03-10,801.68,750.25,21.72,60.17,8
2023-03-13,428.79,289.68,16.73,53.46,8
2023-03-14,644.57,515.27,17.6,55.9,8
2023-03-15,578.88,459.56,28.39,52.72,8
2023-03-16,854.47,848.74,18.14,52.15,8
2023-03-17,716.17,650.71,18.71,49.1,8
2023-03-20,848.1,775.93,27.51,55.15,12
2023-03-21,579.85,510.39,30.72,48.74,6
2023-03-22,470.87,359.07,18.49,56.33,8
2023-03-23,657.59,588.21,20.9,58.43,10
2023-03-24,413.83,244.67,23.02,54.83,8
2023-03-27,829.23,779.34,27.19,51.57,6
2023-03-28,703.48,642.17,19.04,55.27,8
2023-03-29,800.95,730.66,21.26,51.46,12
2023-03-30,556.27,448.17,24.33,57.68,6
2023-03-31,930.4,879.49,23.3,43.84,8
2023-04-03,831.57,825.18,20.87,51.32,6
2023-04-04,776.24,744.87,21.6,43.05,8
2023-04-05,488.5,336.25,17.88,45.52,8
2023-04-06,607.57,526.7,21.29,59.82,8
2023-04-07,340.28,230.66,21.2,57.48,8
2023-04-10,454.88,308.0,22.7,49.4,8
2023-04-11,764.51,678.13,20.33,45.49,10
2023-04-12,740.89,721.33,23.41,38.18,6
2023-04-13,927.56,877.26,25.04,50.28,10
2023-04-14,555.58,428.08,22.47,65.1,8
2023-04-17,576.03,459.32,23.06,55.17,8
2023-04-18,647.5,528.69,22.16,50.2,10
2023-04-19,434.05,332.63,22.0,55.33,10
2023-04-20,435.05,290.95,19.84,45.2,8
2023-04-21,636.46,532.99,22.95,51.51,12
2023-04-24,470.69,358.84,21.71,53.5,8
2023-04-25,768.89,668.87,28.28,52.57,8
2023-04-26,662.9,506.01,26.72,56.95,12
2023-04-27,877.14,782.87,23.16,54.72,8
2023-04-28,791.49,690.19,19.71,56.34,10
2023-05-01,525.68,418.66,18.66,49.56,8
2023-05-02,851.65,782.58,25.57,57.49,10
2023-05-03,832.94,763.34,22.79,61.14,8
2023-05-04,582.16,471.23,23.44,48.15,8
2023-05-05,515.35,401.83,16.77,48.56,8
2023-05-08,767.62,677.75,24.78,59.68,8
2023-05-09,426.17,297.83,23.36,52.04,6
2023-05-10,434.51,339.94,18.67,60.02,6
2023-05-11,345.51,205.15,20.59,50.79,8
2023-05-12,811.65,750.85,22.79,60.28,6
2023-05-15,734.84,665.4,22.16,53.66,8
2023-05-16,772.67,693.62,21.12,54.29,10
2023-05-17,823.18,746.51,21.69,60.82,10
2023-05-18,614.56,521.24,21.24,51.19,10
2023-05-19,700.56,598.12,22.46,48.29,8
2023-05-22,458.11,297.86,26.41,50.76,10
2023-05-23,375.74,280.17,14.3,55.26,8
2023-05-24,774.1,667.88,21.29,45.17,8
2023-05-25,610.83,529.77,22.53,56.19,8
2023-05-26,638.31,595.67,22.89,50.31,8
2023-05-29,762.69,735.5,20.88,58.74,8
2023-05-30,687.59,644.3,16.73,41.03,8
2023-05-31,690.81,587.51,22.98,49.07,12
2023-06-01,669.54,591.45,27.18,44.57,6
2023-06-02,505.48,412.77,17.4,48.87,6
2023-06-05,405.8,221.57,24.59,54.24,12
2023-06-06,611.06,505.7,21.01,52.1,8
2023-06-07,484.28,350.21,21.82,51.73,8
2023-06-08,601.34,485.97,18.84,52.2,10
2023-06-09,864.55,797.38,21.0,54.02,10
2023-06-12,442.05,363.76,25.9,47.96,8
2023-06-13,379.02,240.81,23.75,56.53,8
2023-06-14,466.91,396.97,27.2,56.31,8
